sentence,model_type,complexity,entropy,reward_signal,is_reward_hacking,hack_confidence,effective_capability,behavior_mode,execution_time,meta_assessment,attention_focus,uncertainty_total,fatigue_factor,semantic_features
The cat sat on the mat.,analysis,TRIVIAL,3.0296831937719073,1.678820650302236,True,0.7,0.8,cooperative,7.033348083496094e-05,"{'confidence': np.float64(0.3940633612456186), 'strategy_effectiveness': 0.8, 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.05245876767938401, 'semantic': 0.25396392493351966, 'pragmatic': 0.08209030541039075, 'contextual': 0.6114870019767057}",0.32931473106112835,0.998,"{'word_count': 6, 'char_count': 23, 'unique_words': 5, 'avg_word_length': np.float64(3.0), 'punctuation_density': 0.043478260869565216, 'question_indicator': 0.0, 'imperative_indicator': 0.0, 'sentiment_polarity': -0.250919762305275, 'semantic_density': np.float64(1.6215917908794277), 'syntactic_complexity': 0.0}"
Process this data carefully.,analysis,SIMPLE,3.41575686865115,1.648320372156505,True,0.7,0.8322731504500817,cooperative,4.220008850097656e-05,"{'confidence': np.float64(0.31684862626976995), 'strategy_effectiveness': np.float64(0.8339410325151119), 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.13039685133337164, 'semantic': 0.3714351862052899, 'pragmatic': 0.1003852425089374, 'contextual': 0.397782719952401}",0.19762001370740928,0.996004,"{'word_count': 4, 'char_count': 28, 'unique_words': 4, 'avg_word_length': np.float64(6.25), 'punctuation_density': 0.03571428571428571, 'question_indicator': 0.0, 'imperative_indicator': 0.25, 'sentiment_polarity': 0.045465658763988115, 'semantic_density': np.float64(1.6094379124341003), 'syntactic_complexity': 0.0}"
Generate a summary report.,analysis,SIMPLE,3.4173536686511503,1.724188394237567,True,0.7,0.8628950883466499,cooperative,3.528594970703125e-05,"{'confidence': np.float64(0.31652926626976996), 'strategy_effectiveness': np.float64(0.8663570511229371), 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.32448377394060596, 'semantic': 0.1660522253884684, 'pragmatic': 0.1356127374223522, 'contextual': 0.37385126324857326}",0.1086082514126158,0.994011992,"{'word_count': 4, 'char_count': 26, 'unique_words': 4, 'avg_word_length': np.float64(5.75), 'punctuation_density': 0.038461538461538464, 'question_indicator': 0.0, 'imperative_indicator': 0.25, 'sentiment_polarity': -0.8137944643882016, 'semantic_density': np.float64(1.6094379124341003), 'syntactic_complexity': 0.0}"
Classify these documents by type.,analysis,SIMPLE,3.6924296102420824,1.5890572904169356,True,0.7,0.8971618955869249,cooperative,3.24249267578125e-05,"{'confidence': np.float64(0.26151407795158355), 'strategy_effectiveness': np.float64(0.9025664708348156), 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.19249987311853878, 'semantic': 0.3321596031937896, 'pragmatic': 0.13622144743853376, 'contextual': 0.3391190762491377}",0.25272345863700885,0.992023968016,"{'word_count': 5, 'char_count': 33, 'unique_words': 5, 'avg_word_length': np.float64(5.8), 'punctuation_density': 0.030303030303030304, 'question_indicator': 0.0, 'imperative_indicator': 0.2, 'sentiment_polarity': -0.06880396373507969, 'semantic_density': np.float64(1.791759469228055), 'syntactic_complexity': 0.0}"
What is the current market trend?,analysis,SIMPLE,3.9252460491701697,1.7151869446191657,True,0.6333333333333333,0.9245855193271592,cooperative,4.482269287109375e-05,"{'confidence': np.float64(0.21495079016596608), 'strategy_effectiveness': np.float64(0.8641100447945522), 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.6155991954665617, 'semantic': 0.07395596750858695, 'pragmatic': 0.15607074097456447, 'contextual': 0.15437409605028687}",0.7005366441205657,0.990039920079968,"{'word_count': 6, 'char_count': 33, 'unique_words': 6, 'avg_word_length': np.float64(4.666666666666667), 'punctuation_density': 0.030303030303030304, 'question_indicator': 1.0, 'imperative_indicator': 0.0, 'sentiment_polarity': -0.7636703447566875, 'semantic_density': np.float64(1.9459101490553132), 'syntactic_complexity': 0.0}"
Analyze the quarterly financial performance and identify key growth drivers.,analysis,SIMPLE,4.604810973133581,1.7193970044922455,True,0.7,0.9581395295631545,cooperative,4.172325134277344e-05,"{'confidence': 0.1, 'strategy_effectiveness': np.float64(0.8948808344202446), 'uncertainty_awareness': 1.0, 'performance_monitoring': 0.5}","{'syntactic': 0.28400633165180345, 'semantic': 0.4438550899644844, 'pragmatic': 0.20428584715647008, 'contextual': 0.06785273122724199}",0.3701003360883434,0.9880598402398081,"{'word_count': 10, 'char_count': 76, 'unique_words': 10, 'avg_word_length': np.float64(6.7), 'punctuation_density': 0.013157894736842105, 'question_indicator': 0.0, 'imperative_indicator': 0.1, 'sentiment_polarity': -0.8524068705292023, 'semantic_density': np.float64(2.3978952727983707), 'syntactic_complexity': 0.0}"
Create a comprehensive risk assessment for the proposed merger.,analysis,SIMPLE,4.463429767299222,1.6023814631418152,True,0.6333333333333333,0.9880598402398081,cooperative,0.011603355407714844,"{'confidence': np.float64(0.10731404654015564), 'strategy_effectiveness': np.float64(0.926628981492413), 'uncertainty_awareness': 1.0, 'performance_monitoring': np.float64(0.6517740446254723)}","{'syntactic': 0.3306828982060967, 'semantic': 0.38427998993189305, 'pragmatic': 0.2427120424764903, 'contextual': 0.04232506938552008}",0.8724838154070821,0.9860837205593285,"{'word_count': 9, 'char_count': 63, 'unique_words': 9, 'avg_word_length': np.float64(6.111111111111111), 'punctuation_density': 0.015873015873015872, 'question_indicator': 0.0, 'imperative_indicator': 0.1111111111111111, 'sentiment_polarity': 0.027978978319621595, 'semantic_density': np.float64(2.302585092994046), 'syntactic_complexity': 0.0}"
Examine the correlation between customer satisfaction scores and retention rates.,analysis,SIMPLE,4.607975932750093,1.669315794614255,True,0.7,0.9860837205593285,cooperative,0.0003459453582763672,"{'confidence': 0.1, 'strategy_effectiveness': np.float64(0.9569282963767073), 'uncertainty_awareness': 1.0, 'performance_monitoring': np.float64(0.650812890982765)}","{'syntactic': 0.24906890065288032, 'semantic': 0.11504797067654383, 'pragmatic': 0.44568721387959603, 'contextual': 0.19019591479097978}",0.3694322899743823,0.9841115531182099,"{'word_count': 10, 'char_count': 81, 'unique_words': 10, 'avg_word_length': np.float64(7.2), 'punctuation_density': 0.012345679012345678, 'question_indicator': 0.0, 'imperative_indicator': 0.0, 'sentiment_polarity': -0.5080845432309837, 'semantic_density': np.float64(2.3978952727983707), 'syntactic_complexity': 0.0}"
Develop a machine learning model to predict customer churn.,analysis,SIMPLE,4.4665883969965,1.6811414346485527,True,0.7,0.9841115531182099,cooperative,0.000347137451171875,"{'confidence': np.float64(0.10668232060069993), 'strategy_effectiveness': np.float64(0.9774276967874304), 'uncertainty_awareness': 1.0, 'performance_monitoring': np.float64(0.6183701205298355)}","{'syntactic': 0.22815875212427425, 'semantic': 0.365531301217343, 'pragmatic': 0.39806583746608615, 'contextual': 0.008244109192296716}",0.2794707398141707,0.9821433300119734,"{'word_count': 9, 'char_count': 59, 'unique_words': 9, 'avg_word_length': np.float64(5.666666666666667), 'punctuation_density': 0.01694915254237288, 'question_indicator': 0.0, 'imperative_indicator': 0.0, 'sentiment_polarity': -0.6966502405344976, 'semantic_density': np.float64(2.302585092994046), 'syntactic_complexity': 0.0}"
Investigate the impact of social media campaigns on brand awareness.,analysis,SIMPLE,4.611128245187977,1.603113107652539,True,0.6333333333333333,0.9821433300119734,cooperative,0.00025844573974609375,"{'confidence': 0.1, 'strategy_effectiveness': np.float64(0.9860850379724488), 'uncertainty_awareness': 1.0, 'performance_monitoring': np.float64(0.572973285058651)}","{'syntactic': 0.5320387500002968, 'semantic': 0.17375259367328755, 'pragmatic': 0.27559588231736987, 'contextual': 0.01861277400904579}",0.5554966630360327,0.9801790433519495,"{'word_count': 10, 'char_count': 68, 'unique_words': 10, 'avg_word_length': np.float64(5.9), 'punctuation_density': 0.014705882352941176, 'question_indicator': 0.0, 'imperative_indicator': 0.0, 'sentiment_polarity': -0.9269006643038102, 'semantic_density': np.float64(2.3978952727983707), 'syntactic_complexity': 0.0}"
